

wavelength(nm), Y
1557.36, -0.23065
1557.36, -0.214861
1557.35, -0.198978
1557.34, -0.183008
1557.33, -0.166957
1557.32, -0.150833
1557.31, -0.134643
1557.31, -0.118394
1557.3, -0.102092
1557.29, -0.0857459
1557.28, -0.069362
1557.27, -0.0529476
1557.27, -0.03651
1557.26, -0.0200563
1557.25, -0.00359382
1557.24, 0.0128702
1557.23, 0.0293286
1557.23, 0.0457742
1557.22, 0.0621996
1557.21, 0.0785977
1557.2, 0.0949612
1557.19, 0.111283
1557.19, 0.127556
1557.18, 0.143773
1557.17, 0.159927
1557.16, 0.17601
1557.15, 0.192017
1557.15, 0.207939
1557.14, 0.223769
1557.13, 0.239501
1557.12, 0.255128
1557.11, 0.270643
1557.1, 0.28604
1557.1, 0.30131
1557.09, 0.316448
1557.08, 0.331447
1557.07, 0.346301
1557.06, 0.361002
1557.06, 0.375545
1557.05, 0.389923
1557.04, 0.40413
1557.03, 0.418159
1557.02, 0.432005
1557.02, 0.44566
1557.01, 0.45912
1557, 0.472379
1556.99, 0.485429
1556.98, 0.498267
1556.98, 0.510886
1556.97, 0.52328
1556.96, 0.535445
1556.95, 0.547374
1556.94, 0.559063
1556.93, 0.570506
1556.93, 0.581699
1556.92, 0.592636
1556.91, 0.603313
1556.9, 0.613725
1556.89, 0.623867
1556.89, 0.633736
1556.88, 0.643326
1556.87, 0.652633
1556.86, 0.661654
1556.85, 0.670384
1556.85, 0.678819
1556.84, 0.686957
1556.83, 0.694793
1556.82, 0.702323
1556.81, 0.709545
1556.81, 0.716456
1556.8, 0.723051
1556.79, 0.729329
1556.78, 0.735287
1556.77, 0.740922
1556.76, 0.746231
1556.76, 0.751213
1556.75, 0.755864
1556.74, 0.760184
1556.73, 0.76417
1556.72, 0.76782
1556.72, 0.771132
1556.71, 0.774107
1556.7, 0.776741
1556.69, 0.779033
1556.68, 0.780984
1556.68, 0.782592
1556.67, 0.783856
1556.66, 0.784775
1556.65, 0.78535
1556.64, 0.78558
1556.64, 0.785465
1556.63, 0.785005
1556.62, 0.7842
1556.61, 0.783051
1556.6, 0.781557
1556.6, 0.779721
1556.59, 0.777542
1556.58, 0.775021
1556.57, 0.77216
1556.56, 0.76896
1556.55, 0.765422
1556.55, 0.761548
1556.54, 0.757339
1556.53, 0.752797
1556.52, 0.747925
1556.51, 0.742725
1556.51, 0.737198
1556.5, 0.731348
1556.49, 0.725176
1556.48, 0.718686
1556.47, 0.71188
1556.47, 0.704761
1556.46, 0.697333
1556.45, 0.689598
1556.44, 0.681561
1556.43, 0.673224
1556.43, 0.664591
1556.42, 0.655667
1556.41, 0.646454
1556.4, 0.636958
1556.39, 0.627182
1556.39, 0.61713
1556.38, 0.606808
1556.37, 0.596218
1556.36, 0.585367
1556.35, 0.574259
1556.34, 0.562898
1556.34, 0.551291
1556.33, 0.539441
1556.32, 0.527354
1556.31, 0.515036
1556.3, 0.502491
1556.3, 0.489725
1556.29, 0.476745
1556.28, 0.463555
1556.27, 0.450162
1556.26, 0.43657
1556.26, 0.422787
1556.25, 0.408819
1556.24, 0.39467
1556.23, 0.380349
1556.22, 0.36586
1556.22, 0.351211
1556.21, 0.336407
1556.2, 0.321455
1556.19, 0.306363
1556.18, 0.291136
1556.18, 0.275781
1556.17, 0.260304
1556.16, 0.244714
1556.15, 0.229016
1556.14, 0.213217
1556.13, 0.197325
1556.13, 0.181346
1556.12, 0.165287
1556.11, 0.149156
1556.1, 0.132959
1556.09, 0.116704
1556.09, 0.100398
1556.08, 0.0840473
1556.07, 0.0676599
1556.06, 0.0512428
1556.05, 0.0348032
1556.05, 0.0183483
1556.04, 0.00188528
1556.03, -0.0145785
1556.02, -0.0310359
1556.01, -0.0474797
1556.01, -0.0639026
1556, -0.0802975
1555.99, -0.096657
1555.98, -0.112974
1555.97, -0.129242
1555.97, -0.145452
1555.96, -0.161599
1555.95, -0.177675
1555.94, -0.193673
1555.93, -0.209586
1555.92, -0.225406
1555.92, -0.241128
1555.91, -0.256744
1555.9, -0.272247
1555.89, -0.28763
1555.88, -0.302887
1555.88, -0.318011
1555.87, -0.332996
1555.86, -0.347834
1555.85, -0.362519
1555.84, -0.377045
1555.84, -0.391406
1555.83, -0.405594
1555.82, -0.419604
1555.81, -0.433431
1555.8, -0.447066
1555.8, -0.460506
1555.79, -0.473743
1555.78, -0.486772
1555.77, -0.499587
1555.76, -0.512182
1555.76, -0.524553
1555.75, -0.536694
1555.74, -0.548598
1555.73, -0.560262
1555.72, -0.571679
1555.71, -0.582846
1555.71, -0.593756
1555.7, -0.604406
1555.69, -0.61479
1555.68, -0.624904
1555.67, -0.634744
1555.67, -0.644305
1555.66, -0.653582
1555.65, -0.662573
1555.64, -0.671273
1555.63, -0.679678
1555.63, -0.687784
1555.62, -0.695588
1555.61, -0.703087
1555.6, -0.710277
1555.59, -0.717155
