

wavelength(nm), Y
1557.36, 0.750962
1557.36, 0.755631
1557.35, 0.759968
1557.34, 0.763971
1557.33, 0.767639
1557.32, 0.770969
1557.31, 0.773961
1557.31, 0.776612
1557.3, 0.778923
1557.29, 0.780891
1557.28, 0.782517
1557.27, 0.783799
1557.27, 0.784736
1557.26, 0.785329
1557.25, 0.785577
1557.24, 0.78548
1557.23, 0.785037
1557.23, 0.78425
1557.22, 0.783119
1557.21, 0.781643
1557.2, 0.779824
1557.19, 0.777663
1557.19, 0.77516
1557.18, 0.772317
1557.17, 0.769134
1557.16, 0.765614
1557.15, 0.761757
1557.15, 0.757565
1557.14, 0.753041
1557.13, 0.748186
1557.12, 0.743003
1557.11, 0.737493
1557.1, 0.731659
1557.1, 0.725504
1557.09, 0.71903
1557.08, 0.71224
1557.07, 0.705138
1557.06, 0.697726
1557.06, 0.690007
1557.05, 0.681985
1557.04, 0.673664
1557.03, 0.665046
1557.02, 0.656137
1557.02, 0.646939
1557.01, 0.637458
1557, 0.627696
1556.99, 0.617658
1556.98, 0.60735
1556.98, 0.596774
1556.97, 0.585937
1556.96, 0.574842
1556.95, 0.563494
1556.94, 0.551899
1556.93, 0.540062
1556.93, 0.527987
1556.92, 0.51568
1556.91, 0.503147
1556.9, 0.490393
1556.89, 0.477424
1556.89, 0.464244
1556.88, 0.450861
1556.87, 0.43728
1556.86, 0.423507
1556.85, 0.409548
1556.85, 0.395409
1556.84, 0.381096
1556.83, 0.366616
1556.82, 0.351974
1556.81, 0.337179
1556.81, 0.322235
1556.8, 0.307149
1556.79, 0.291929
1556.78, 0.27658
1556.77, 0.26111
1556.76, 0.245525
1556.76, 0.229833
1556.75, 0.214039
1556.74, 0.198152
1556.73, 0.182177
1556.72, 0.166122
1556.72, 0.149995
1556.71, 0.133801
1556.7, 0.117549
1556.69, 0.101245
1556.68, 0.0848967
1556.68, 0.068511
1556.67, 0.0520952
1556.66, 0.0356566
1556.65, 0.0192023
1556.64, 0.00273955
1556.64, -0.0137244
1556.63, -0.0301823
1556.62, -0.046627
1556.61, -0.0630511
1556.6, -0.0794476
1556.6, -0.0958092
1556.59, -0.112129
1556.58, -0.128399
1556.57, -0.144613
1556.56, -0.160763
1556.55, -0.176843
1556.55, -0.192845
1556.54, -0.208762
1556.53, -0.224588
1556.52, -0.240315
1556.51, -0.255936
1556.51, -0.271445
1556.5, -0.286835
1556.49, -0.302099
1556.48, -0.31723
1556.47, -0.332222
1556.47, -0.347068
1556.46, -0.361761
1556.45, -0.376295
1556.44, -0.390665
1556.43, -0.404862
1556.43, -0.418882
1556.42, -0.432718
1556.41, -0.446364
1556.4, -0.459813
1556.39, -0.473061
1556.39, -0.486101
1556.38, -0.498927
1556.37, -0.511534
1556.36, -0.523917
1556.35, -0.536069
1556.34, -0.547986
1556.34, -0.559663
1556.33, -0.571093
1556.32, -0.582273
1556.31, -0.593197
1556.3, -0.60386
1556.3, -0.614258
1556.29, -0.624386
1556.28, -0.63424
1556.27, -0.643815
1556.26, -0.653108
1556.26, -0.662114
1556.25, -0.670829
1556.24, -0.679249
1556.23, -0.687371
1556.22, -0.695191
1556.22, -0.702705
1556.21, -0.709911
1556.2, -0.716806
1556.19, -0.723385
1556.18, -0.729646
1556.18, -0.735587
1556.17, -0.741205
1556.16, -0.746498
1556.15, -0.751462
1556.14, -0.756097
1556.13, -0.760399
1556.13, -0.764367
1556.12, -0.768
1556.11, -0.771295
1556.1, -0.774252
1556.09, -0.776868
1556.09, -0.779143
1556.08, -0.781076
1556.07, -0.782666
1556.06, -0.783912
1556.05, -0.784814
1556.05, -0.785371
1556.04, -0.785583
1556.03, -0.78545
1556.02, -0.784972
1556.01, -0.784149
1556.01, -0.782982
1556, -0.78147
1555.99, -0.779616
1555.98, -0.777419
1555.97, -0.774881
1555.97, -0.772002
1555.96, -0.768784
1555.95, -0.765229
1555.94, -0.761337
1555.93, -0.757111
1555.92, -0.752553
1555.92, -0.747664
1555.91, -0.742446
1555.9, -0.736903
1555.89, -0.731035
1555.88, -0.724847
1555.88, -0.71834
1555.87, -0.711518
1555.86, -0.704383
1555.85, -0.696939
1555.84, -0.689188
1555.84, -0.681135
1555.83, -0.672783
1555.82, -0.664135
1555.81, -0.655196
1555.8, -0.645969
1555.8, -0.636458
1555.79, -0.626667
1555.78, -0.616601
1555.77, -0.606265
1555.76, -0.595662
1555.76, -0.584797
1555.75, -0.573676
1555.74, -0.562302
1555.73, -0.550682
1555.72, -0.538819
1555.71, -0.526721
1555.71, -0.51439
1555.7, -0.501834
1555.69, -0.489057
1555.68, -0.476066
1555.67, -0.462865
1555.67, -0.449461
1555.66, -0.43586
1555.65, -0.422067
1555.64, -0.408089
1555.63, -0.393931
1555.63, -0.379601
1555.62, -0.365104
1555.61, -0.350446
1555.6, -0.335635
1555.59, -0.320676
1555.59, -0.305576
1555.58, -0.290342
1555.57, -0.27498
1555.56, -0.259498
1555.55, -0.243902
1555.55, -0.228198
1555.54, -0.212395
1555.53, -0.196498
1555.52, -0.180515
1555.51, -0.164452
1555.5, -0.148317
1555.5, -0.132117
1555.49, -0.115859
1555.48, -0.0995505
1555.47, -0.0831979
1555.46, -0.0668088
1555.46, -0.0503903
1555.45, -0.0339497
1555.44, -0.0174942
1555.43, -0.001031
1555.42, 0.0154326
1555.42, 0.0318895
1555.41, 0.0483324
1555.4, 0.064754
1555.39, 0.0811472
1555.38, 0.0975048
1555.38, 0.113819
1555.37, 0.130084
1555.36, 0.146292
1555.35, 0.162435
1555.34, 0.178507
1555.34, 0.194501
1555.33, 0.210409
1555.32, 0.226225
1555.31, 0.241941
1555.3, 0.257551
1555.3, 0.273048
1555.29, 0.288425
1555.28, 0.303675
1555.27, 0.318792
1555.26, 0.333769
1555.25, 0.3486
1555.25, 0.363277
1555.24, 0.377794
1555.23, 0.392146
1555.22, 0.406325
1555.21, 0.420326
1555.21, 0.434143
1555.2, 0.447768
1555.19, 0.461197
1555.18, 0.474424
1555.17, 0.487442
1555.17, 0.500246
1555.16, 0.51283
1555.15, 0.525189
1555.14, 0.537317
1555.13, 0.549209
1555.13, 0.56086
1555.12, 0.572265
1555.11, 0.583418
1555.1, 0.594315
1555.09, 0.604951
1555.09, 0.615321
1555.08, 0.625421
1555.07, 0.635247
1555.06, 0.644793
1555.05, 0.654056
1555.04, 0.663032
1555.04, 0.671716
1555.03, 0.680106
1555.02, 0.688196
1555.01, 0.695985
1555, 0.703468
1555, 0.710641
1554.99, 0.717503
1554.98, 0.724049
1554.97, 0.730278
1554.96, 0.736185
1554.96, 0.74177
1554.95, 0.747028
1554.94, 0.751959
1554.93, 0.756559
1554.92, 0.760826
1554.92, 0.76476
1554.91, 0.768358
1554.9, 0.771618
1554.89, 0.774539
1554.88, 0.77712
1554.88, 0.77936
1554.87, 0.781257
1554.86, 0.782811
1554.85, 0.784022
1554.84, 0.784887
1554.84, 0.785409
1554.83, 0.785585
1554.82, 0.785416
1554.81, 0.784902
1554.8, 0.784044
1554.79, 0.782841
1554.79, 0.781294
1554.78, 0.779404
1554.77, 0.777172
1554.76, 0.774598
1554.75, 0.771684
1554.75, 0.768431
1554.74, 0.764841
1554.73, 0.760914
1554.72, 0.756654
1554.71, 0.752061
1554.71, 0.747138
1554.7, 0.741886
1554.69, 0.736309
1554.68, 0.730408
1554.67, 0.724186
1554.67, 0.717647
1554.66, 0.710792
1554.65, 0.703625
1554.64, 0.696149
1554.63, 0.688367
1554.63, 0.680283
1554.62, 0.671899
