

wavelength(nm), Y
1557.36, 0.39526
1557.36, 0.389761
1557.35, 0.378932
1557.34, 0.362863
1557.33, 0.341754
1557.32, 0.316028
1557.31, 0.286415
1557.31, 0.253978
1557.3, 0.220049
1557.29, 0.186093
1557.28, 0.153512
1557.27, 0.123473
1557.27, 0.0967856
1557.26, 0.0738723
1557.25, 0.0548087
1557.24, 0.0394071
1557.23, 0.0273132
1557.23, 0.0180895
1557.22, 0.0112793
1557.21, 0.00644649
1557.2, 0.00319674
1557.19, 0.0011855
1557.19, 0.000116949
1557.18, -0.000261873
1557.17, -0.000169449
1557.16, 0.000200818
1557.15, 0.000670907
1557.15, 0.00106847
1557.14, 0.00121717
1557.13, 0.000926946
1557.12, -1.56245e-05
1557.11, -0.00185685
1557.1, -0.00488451
1557.1, -0.00943432
1557.09, -0.0158919
1557.08, -0.024687
1557.07, -0.0362747
1557.06, -0.0510994
1557.06, -0.0695354
1557.05, -0.0918064
1557.04, -0.11789
1557.03, -0.14743
1557.02, -0.179685
1557.02, -0.213544
1557.01, -0.247635
1557, -0.280488
1556.99, -0.310734
1556.98, -0.337255
1556.98, -0.359263
1556.97, -0.376289
1556.96, -0.388107
1556.95, -0.394623
1556.94, -0.395776
1556.93, -0.391452
1556.93, -0.381439
1556.92, -0.365419
1556.91, -0.343001
1556.9, -0.313793
1556.89, -0.277521
1556.89, -0.234164
1556.88, -0.184104
1556.87, -0.128239
1556.86, -0.0680186
1556.85, -0.00536893
1556.85, 0.0574915
1556.84, 0.118317
1556.83, 0.175105
1556.82, 0.226303
1556.81, 0.270906
1556.81, 0.308436
1556.8, 0.338848
1556.79, 0.362379
1556.78, 0.379407
1556.77, 0.39033
1556.76, 0.395485
1556.76, 0.395107
1556.75, 0.389329
1556.74, 0.378227
1556.73, 0.361889
1556.72, 0.340528
1556.72, 0.314579
1556.71, 0.284791
1556.7, 0.252242
1556.69, 0.218275
1556.68, 0.184357
1556.68, 0.151883
1556.67, 0.122001
1556.66, 0.095502
1556.65, 0.0727892
1556.64, 0.053922
1556.64, 0.0387018
1556.63, 0.0267679
1556.62, 0.0176807
1556.61, 0.0109835
1556.6, 0.00624212
1556.6, 0.00306467
1556.59, 0.00110922
1556.58, 8.23416e-05
1556.57, -0.000266912
1556.56, -0.000155489
1556.55, 0.000224247
1556.55, 0.000694807
1556.54, 0.00108387
1556.53, 0.00121463
1556.52, 0.000896056
1556.51, -8.67592e-05
1556.51, -0.00198207
1556.5, -0.00508002
1556.49, -0.00971891
1556.48, -0.0162869
1556.47, -0.0252156
1556.47, -0.0369606
1556.46, -0.0519644
1556.45, -0.0705956
1556.44, -0.0930676
1556.43, -0.119343
1556.43, -0.149045
1556.42, -0.181413
1556.41, -0.21532
1556.4, -0.249382
1556.39, -0.282132
1556.39, -0.31221
1556.38, -0.338513
1556.37, -0.360272
1556.36, -0.377032
1556.35, -0.388576
1556.34, -0.394815
1556.34, -0.395688
1556.33, -0.391075
1556.32, -0.380759
1556.31, -0.364417
1556.3, -0.341655
1556.3, -0.312086
1556.29, -0.275444
1556.28, -0.231726
1556.27, -0.181338
1556.26, -0.125207
1556.26, -0.0648094
1556.25, -0.00209284
1556.24, 0.0607162
1556.23, 0.121378
1556.22, 0.17791
1556.22, 0.228786
1556.21, 0.273029
1556.2, 0.310188
1556.19, 0.340236
1556.18, 0.363419
1556.18, 0.38012
1556.17, 0.390737
1556.16, 0.3956
1556.15, 0.394939
1556.14, 0.388884
1556.13, 0.377507
1556.13, 0.360902
1556.12, 0.339289
1556.11, 0.31312
1556.1, 0.28316
1556.09, 0.250502
1556.09, 0.216501
1556.08, 0.182625
1556.07, 0.15026
1556.06, 0.120538
1556.05, 0.0942285
1556.05, 0.0717165
1556.04, 0.0530452
1556.03, 0.0380054
1556.02, 0.0262304
1556.01, 0.0172783
1556.01, 0.010693
1556, 0.00604195
1555.99, 0.00293588
1555.98, 0.00103543
1555.97, 4.95512e-05
1555.97, -0.000270716
1555.96, -0.000140809
1555.95, 0.000247919
1555.94, 0.000718487
1555.93, 0.00109858
1555.92, 0.00121089
1555.92, 0.000863385
1555.91, -0.000160341
1555.9, -0.00211052
1555.89, -0.00527967
1555.88, -0.0100087
1555.88, -0.0166882
1555.87, -0.0257517
1555.86, -0.0376554
1555.85, -0.0528392
1555.84, -0.0716662
1555.84, -0.094339
1555.83, -0.120804
1555.82, -0.150667
1555.81, -0.183145
1555.8, -0.217096
1555.8, -0.251126
1555.79, -0.28377
1555.78, -0.313675
1555.77, -0.339759
1555.76, -0.361267
1555.76, -0.37776
1555.75, -0.389031
1555.74, -0.394993
1555.73, -0.395585
1555.72, -0.390682
1555.71, -0.380062
1555.71, -0.363397
1555.7, -0.340291
1555.69, -0.31036
1555.68, -0.273348
1555.67, -0.22927
1555.67, -0.178556
1555.66, -0.122163
1555.65, -0.0615939
1555.64, 0.00118352
1555.63, 0.0639351
1555.63, 0.124429
1555.62, 0.1807
1555.61, 0.231251
1555.6, 0.275133
1555.59, 0.311921
1555.59, 0.341604
1555.58, 0.364441
1555.57, 0.380818
1555.56, 0.391128
1555.55, 0.3957
1555.55, 0.394757
1555.54, 0.388424
1555.53, 0.376772
1555.52, 0.359901
1555.51, 0.338038
1555.5, 0.311651
1555.5, 0.281521
1555.49, 0.248758
1555.48, 0.214728
1555.47, 0.180898
1555.46, 0.148645
1555.46, 0.119084
1555.45, 0.0929654
1555.44, 0.0706541
1555.43, 0.0521781
1555.42, 0.0373178
1555.42, 0.0257004
1555.41, 0.0168823
1555.4, 0.0104077
1555.39, 0.00584593
1555.38, 0.00281032
1555.38, 0.000964088
1555.37, 1.85452e-05
1555.36, -0.000273314
1555.35, -0.000125436
1555.34, 0.000271811
1555.34, 0.000741926
1555.33, 0.00111257
1555.32, 0.00120592
1555.31, 0.000828902
1555.3, -0.000236408
1555.3, -0.00224224
1555.29, -0.00548351
1555.28, -0.0103037
1555.27, -0.017096
1555.26, -0.0262956
1555.25, -0.0383589
1555.25, -0.0537239
1555.24, -0.0727472
1555.23, -0.0956207
1555.22, -0.122275
1555.21, -0.152297
1555.21, -0.184882
1555.2, -0.218872
1555.19, -0.252867
1555.18, -0.285399
1555.17, -0.315131
1555.17, -0.340992
1555.16, -0.362249
1555.15, -0.378475
1555.14, -0.389471
1555.13, -0.395157
1555.13, -0.395467
1555.12, -0.390274
1555.11, -0.379349
1555.1, -0.36236
1555.09, -0.338909
1555.09, -0.308615
1555.08, -0.271233
1555.07, -0.226796
1555.06, -0.17576
1555.05, -0.119108
1555.04, -0.0583724
1555.04, 0.0044598
1555.03, 0.0671479
1555.02, 0.127467
1555.01, 0.183474
1555, 0.233697
1555, 0.277218
1554.99, 0.313635
1554.98, 0.342955
1554.97, 0.365446
1554.96, 0.381499
1554.96, 0.391504
1554.95, 0.395785
1554.94, 0.39456
1554.93, 0.387949
1554.92, 0.376024
1554.92, 0.358886
1554.91, 0.336775
1554.9, 0.310171
1554.89, 0.279875
1554.88, 0.247011
1554.88, 0.212955
1554.87, 0.179175
1554.86, 0.147036
1554.85, 0.117639
1554.84, 0.0917126
1554.84, 0.0696022
1554.83, 0.0513209
1554.82, 0.0366389
1554.81, 0.025178
1554.8, 0.0164926
1554.79, 0.0101275
1554.79, 0.00565401
1554.78, 0.00268796
1554.77, 0.000895166
1554.76, -1.07085e-05
1554.75, -0.000274733
1554.75, -0.000109395
1554.74, 0.000295898
1554.73, 0.000765097
1554.72, 0.00112582
1554.71, 0.00119968
1554.71, 0.000792573
1554.7, -0.000314996
1554.69, -0.00237728
1554.68, -0.00569158
1554.67, -0.010604
1554.67, -0.0175102
1554.66, -0.0268471
1554.65, -0.0390714
1554.64, -0.0546184
1554.63, -0.0738387
1554.63, -0.0969127
1554.62, -0.123756
1554.61, -0.153933
1554.6, -0.186622
1554.59, -0.220649
1554.59, -0.254603
1554.58, -0.287021
1554.57, -0.316576
1554.56, -0.342213
1554.55, -0.363217
1554.55, -0.379175
1554.54, -0.389897
1554.53, -0.395306
1554.52, -0.395334
1554.51, -0.389851
1554.5, -0.37862
1554.5, -0.361306
1554.49, -0.337509
1554.48, -0.306851
1554.47, -0.269099
1554.46, -0.224304
1554.46, -0.172947
1554.45, -0.116042
1554.44, -0.0551452
1554.43, 0.00773569
1554.42, 0.0703542
1554.42, 0.130494
1554.41, 0.186232
1554.4, 0.236126
1554.39, 0.279283
1554.38, 0.315329
1554.38, 0.344286
1554.37, 0.366434
1554.36, 0.382163
1554.35, 0.391865
1554.34, 0.395856
1554.34, 0.394349
1554.33, 0.387461
1554.32, 0.375262
1554.31, 0.357859
1554.3, 0.3355
1554.3, 0.308682
1554.29, 0.278222
1554.28, 0.245261
1554.27, 0.211183
1554.26, 0.177456
1554.25, 0.145436
1554.25, 0.116204
1554.24, 0.0904702
1554.23, 0.0685606
1554.22, 0.0504734
1554.21, 0.0359687
1554.21, 0.024663
1554.2, 0.0161091
1554.19, 0.00985235
1554.18, 0.00546613
1554.17, 0.00256874
1554.17, 0.000828622
1554.16, -3.82415e-05
1554.15, -0.000275002
1554.14, -9.27101e-05
1554.13, 0.000320156
1554.13, 0.000787979
1554.12, 0.0011383
1554.11, 0.00119216
1554.1, 0.000754366
1554.09, -0.000396146
1554.09, -0.00251567
1554.08, -0.00590395
1554.07, -0.0109097
1554.06, -0.0179309
1554.05, -0.0274064
1554.05, -0.0397928
1554.04, -0.0555229
1554.03, -0.0749405
1554.02, -0.0982149
1554.01, -0.125245
1554.01, -0.155576
1554, -0.188366
1553.99, -0.222425
1553.98, -0.256335
1553.97, -0.288636
1553.96, -0.31801
1553.96, -0.343422
1553.95, -0.364171
1553.94, -0.379861
1553.93, -0.390309
1553.92, -0.39544
1553.92, -0.395187
1553.91, -0.389412
1553.9, -0.377875
1553.89, -0.360234
1553.88, -0.33609
1553.88, -0.305068
1553.87, -0.266946
1553.86, -0.221794
1553.85, -0.17012
1553.84, -0.112964
1553.84, -0.0519126
1553.83, 0.0110109
1553.82, 0.0735538
1553.81, 0.133509
1553.8, 0.188975
1553.8, 0.238536
1553.79, 0.28133
1553.78, 0.317004
1553.77, 0.3456
1553.76, 0.367405
1553.76, 0.382812
1553.75, 0.39221
1553.74, 0.395911
1553.73, 0.394123
1553.72, 0.386958
1553.72, 0.374486
1553.71, 0.356817
1553.7, 0.334212
1553.69, 0.307182
1553.68, 0.276562
1553.67, 0.243507
1553.67, 0.209412
1553.66, 0.175742
1553.65, 0.143843
1553.64, 0.114778
1553.63, 0.0892381
1553.63, 0.0675293
1553.62, 0.0496355
1553.61, 0.0353071
1553.6, 0.0241555
1553.59, 0.0157318
1553.59, 0.00958226
1553.58, 0.00528224
1553.57, 0.00245263
1553.56, 0.00076442
1553.55, -6.40855e-05
1553.55, -0.000274147
1553.54, -7.54079e-05
1553.53, 0.000344561
1553.52, 0.000810545
