

wavelength(nm), Y
1557.36, 0.059045
1557.36, 0.014063
1557.35, -0.0291351
1557.34, -0.0698889
1557.33, -0.10739
1557.32, -0.140723
1557.31, -0.168974
1557.31, -0.191374
1557.3, -0.207467
1557.29, -0.217221
1557.28, -0.221058
1557.27, -0.219791
1557.27, -0.214479
1557.26, -0.206267
1557.25, -0.196239
1557.24, -0.18533
1557.23, -0.174283
1557.23, -0.163644
1557.22, -0.153791
1557.21, -0.144966
1557.2, -0.137311
1557.19, -0.1309
1557.19, -0.125761
1557.18, -0.121898
1557.17, -0.119305
1557.16, -0.117972
1557.15, -0.117893
1557.15, -0.119066
1557.14, -0.121498
1557.13, -0.125197
1557.12, -0.130172
1557.11, -0.13642
1557.1, -0.143919
1557.1, -0.152605
1557.09, -0.162348
1557.08, -0.172927
1557.07, -0.183992
1557.06, -0.195025
1557.06, -0.205321
1557.05, -0.213978
1557.04, -0.219932
1557.03, -0.222041
1557.02, -0.219217
1557.02, -0.210594
1557.01, -0.195671
1557, -0.174401
1556.99, -0.147174
1556.98, -0.114716
1556.98, -0.0779329
1556.97, -0.0377521
1556.96, 0.00499114
1556.95, 0.0496084
1556.94, 0.0955547
1556.93, 0.14238
1556.93, 0.189655
1556.92, 0.236881
1556.91, 0.283403
1556.9, 0.328333
1556.89, 0.370512
1556.89, 0.408515
1556.88, 0.440734
1556.87, 0.465532
1556.86, 0.481465
1556.85, 0.487511
1556.85, 0.483258
1556.84, 0.468986
1556.83, 0.445611
1556.82, 0.414517
1556.81, 0.377324
1556.81, 0.335662
1556.8, 0.291004
1556.79, 0.244567
1556.78, 0.197293
1556.77, 0.149882
1556.76, 0.102862
1556.76, 0.0566761
1556.75, 0.0117727
1556.74, -0.0313162
1556.73, -0.0719222
1556.72, -0.10923
1556.72, -0.142321
1556.71, -0.170285
1556.7, -0.192367
1556.69, -0.208127
1556.68, -0.21756
1556.68, -0.221109
1556.67, -0.219605
1556.66, -0.214115
1556.65, -0.205782
1556.64, -0.195687
1556.64, -0.184755
1556.63, -0.173717
1556.62, -0.163111
1556.61, -0.153306
1556.6, -0.144539
1556.6, -0.136948
1556.59, -0.130602
1556.58, -0.125529
1556.57, -0.121733
1556.56, -0.119205
1556.55, -0.117937
1556.55, -0.117923
1556.54, -0.119161
1556.53, -0.121658
1556.52, -0.125424
1556.51, -0.130465
1556.51, -0.136779
1556.5, -0.144342
1556.49, -0.153086
1556.48, -0.162879
1556.47, -0.173493
1556.47, -0.18457
1556.46, -0.195584
1556.45, -0.205819
1556.44, -0.214363
1556.43, -0.220146
1556.43, -0.222024
1556.42, -0.218918
1556.41, -0.209977
1556.4, -0.194722
1556.39, -0.17313
1556.39, -0.145611
1556.38, -0.112906
1556.37, -0.0759239
1556.36, -0.0355908
1556.35, 0.00726528
1556.34, 0.0519639
1556.34, 0.0979663
1556.33, 0.144826
1556.32, 0.192112
1556.31, 0.239319
1556.3, 0.285782
1556.3, 0.3306
1556.29, 0.3726
1556.28, 0.410343
1556.27, 0.442217
1556.26, 0.466588
1556.26, 0.482029
1556.25, 0.487544
1556.24, 0.482758
1556.23, 0.467987
1556.22, 0.444175
1556.22, 0.412723
1556.21, 0.375258
1556.2, 0.333407
1556.19, 0.288629
1556.18, 0.242128
1556.18, 0.194832
1556.17, 0.147429
1556.16, 0.100441
1556.15, 0.0543106
1556.14, 0.00948726
1556.13, -0.0334905
1556.13, -0.0739467
1556.12, -0.111059
1556.11, -0.143906
1556.1, -0.171581
1556.09, -0.193342
1556.09, -0.208771
1556.08, -0.217883
1556.07, -0.221147
1556.06, -0.219408
1556.05, -0.213743
1556.05, -0.205293
1556.04, -0.195134
1556.03, -0.18418
1556.02, -0.173152
1556.01, -0.16258
1556.01, -0.152824
1556, -0.144115
1555.99, -0.136587
1555.98, -0.130307
1555.97, -0.125301
1555.97, -0.12157
1555.96, -0.119109
1555.95, -0.117906
1555.94, -0.117956
1555.93, -0.11926
1555.92, -0.121822
1555.92, -0.125654
1555.91, -0.130761
1555.9, -0.137141
1555.89, -0.144767
1555.88, -0.153569
1555.88, -0.163412
1555.87, -0.17406
1555.86, -0.185148
1555.85, -0.196142
1555.84, -0.206313
1555.84, -0.214741
1555.83, -0.220349
1555.82, -0.221994
1555.81, -0.218604
1555.8, -0.209343
1555.8, -0.193756
1555.79, -0.171842
1555.78, -0.144034
1555.77, -0.111084
1555.76, -0.073906
1555.76, -0.0334227
1555.75, 0.00954436
1555.74, 0.0543228
1555.73, 0.10038
1555.72, 0.147273
1555.71, 0.194568
1555.71, 0.241755
1555.7, 0.288157
1555.69, 0.33286
1555.68, 0.374676
1555.67, 0.412156
1555.67, 0.443679
1555.66, 0.46762
1555.65, 0.482565
1555.64, 0.487549
1555.63, 0.482232
1555.63, 0.466963
1555.62, 0.442717
1555.61, 0.410913
1555.6, 0.373181
1555.59, 0.331144
1555.59, 0.286249
1555.58, 0.239687
1555.57, 0.19237
1555.56, 0.144977
1555.55, 0.0980232
1555.55, 0.0519486
1555.54, 0.00720675
1555.53, -0.0356582
1555.52, -0.0759622
1555.51, -0.112876
1555.5, -0.145476
1555.5, -0.172861
1555.49, -0.1943
1555.48, -0.209397
1555.47, -0.21819
1555.46, -0.221171
1555.46, -0.219201
1555.45, -0.213363
1555.44, -0.204799
1555.43, -0.194578
1555.42, -0.183604
1555.42, -0.172589
1555.41, -0.162051
1555.4, -0.152345
1555.39, -0.143695
1555.38, -0.13623
1555.38, -0.130016
1555.37, -0.125076
1555.36, -0.121412
1555.35, -0.119015
1555.34, -0.117878
1555.34, -0.117993
1555.33, -0.119362
1555.32, -0.12199
1555.31, -0.125887
1555.3, -0.131061
1555.3, -0.137507
1555.29, -0.145196
1555.28, -0.154056
1555.27, -0.163947
1555.26, -0.174629
1555.25, -0.185727
1555.25, -0.196697
1555.24, -0.206802
1555.23, -0.215111
1555.22, -0.220542
1555.21, -0.22195
1555.21, -0.218273
1555.2, -0.208691
1555.19, -0.192772
1555.18, -0.170539
1555.17, -0.142444
1555.17, -0.109251
1555.16, -0.0718791
1555.15, -0.031248
1555.14, 0.0118283
1555.13, 0.0566851
1555.13, 0.102796
1555.12, 0.149721
1555.11, 0.197024
1555.1, 0.244188
1555.09, 0.290527
1555.09, 0.335112
1555.08, 0.376741
1555.07, 0.413952
1555.06, 0.445121
1555.05, 0.468627
1555.04, 0.483074
1555.04, 0.487526
1555.03, 0.481678
1555.02, 0.465915
1555.01, 0.441239
1555, 0.409087
1555, 0.371093
1554.99, 0.328873
1554.98, 0.283865
1554.97, 0.237243
1554.96, 0.189908
1554.96, 0.142526
1554.95, 0.0956072
1554.94, 0.0495901
1554.93, 0.00493126
1554.92, -0.0378189
1554.92, -0.0779685
1554.91, -0.114682
1554.9, -0.147033
1554.89, -0.174124
1554.88, -0.195241
1554.88, -0.210005
1554.87, -0.218482
1554.86, -0.221182
1554.85, -0.218983
1554.84, -0.212976
1554.84, -0.204301
1554.83, -0.19402
1554.82, -0.183028
1554.81, -0.172026
1554.8, -0.161524
1554.79, -0.151869
1554.79, -0.143278
1554.78, -0.135877
1554.77, -0.129728
1554.76, -0.124854
1554.75, -0.121256
1554.75, -0.118925
1554.74, -0.117853
1554.73, -0.118033
1554.72, -0.119467
1554.71, -0.122161
1554.71, -0.126124
1554.7, -0.131364
1554.69, -0.137875
1554.68, -0.145627
1554.67, -0.154545
1554.67, -0.164484
1554.66, -0.175198
1554.65, -0.186304
1554.64, -0.19725
1554.63, -0.207286
1554.63, -0.215474
1554.62, -0.220724
1554.61, -0.221893
1554.6, -0.217927
1554.59, -0.208023
1554.59, -0.191772
1554.58, -0.16922
1554.57, -0.140839
1554.56, -0.107406
1554.55, -0.0698435
1554.55, -0.0290667
1554.54, 0.014117
1554.53, 0.0590508
1554.52, 0.105215
1554.51, 0.15217
1554.5, 0.19948
1554.5, 0.24662
1554.49, 0.292893
1554.48, 0.337357
1554.47, 0.378794
1554.46, 0.415732
1554.46, 0.446543
1554.45, 0.46961
1554.44, 0.483557
1554.43, 0.487476
1554.42, 0.481098
1554.42, 0.464843
1554.41, 0.439741
1554.4, 0.407245
1554.39, 0.368993
1554.38, 0.326595
1554.38, 0.281477
1554.37, 0.234798
1554.36, 0.187445
1554.35, 0.140076
1554.34, 0.0931937
1554.34, 0.0472353
1554.33, 0.00266087
1554.32, -0.0399727
1554.31, -0.0799657
1554.3, -0.116475
1554.3, -0.148575
1554.29, -0.175372
1554.28, -0.196164
1554.27, -0.210597
1554.26, -0.218758
1554.25, -0.22118
1554.25, -0.218756
1554.24, -0.212582
1554.23, -0.203799
1554.22, -0.19346
1554.21, -0.182452
1554.21, -0.171466
1554.2, -0.161
1554.19, -0.151395
1554.18, -0.142864
1554.17, -0.135527
1554.17, -0.129444
1554.16, -0.124636
1554.15, -0.121104
1554.14, -0.118839
1554.13, -0.117831
1554.13, -0.118077
1554.12, -0.119576
1554.11, -0.122335
1554.1, -0.126365
1554.09, -0.131671
1554.09, -0.138247
1554.08, -0.146062
1554.07, -0.155038
1554.06, -0.165024
1554.05, -0.175769
1554.05, -0.186882
1554.04, -0.1978
1554.03, -0.207765
1554.02, -0.215828
1554.01, -0.220895
1554.01, -0.221822
1554, -0.217564
1553.99, -0.207338
1553.98, -0.190754
1553.97, -0.167885
1553.96, -0.139221
1553.96, -0.105551
1553.95, -0.0677993
1553.94, -0.026879
1553.93, 0.0164103
1553.92, 0.0614198
1553.92, 0.107635
1553.91, 0.15462
1553.9, 0.201935
1553.89, 0.249049
1553.88, 0.295254
1553.88, 0.339593
1553.87, 0.380835
1553.86, 0.417496
1553.85, 0.447944
1553.84, 0.470568
1553.84, 0.484012
1553.83, 0.487397
1553.82, 0.480491
1553.81, 0.463747
1553.8, 0.438223
1553.8, 0.405387
1553.79, 0.366881
1553.78, 0.32431
1553.77, 0.279085
1553.76, 0.232351
1553.76, 0.184983
1553.75, 0.137628
1553.74, 0.0907827
1553.73, 0.0448842
1553.72, 0.000395675
1553.72, -0.0421194
1553.71, -0.0819535
1553.7, -0.118258
1553.69, -0.150103
1553.68, -0.176603
1553.67, -0.197071
1553.67, -0.211172
1553.66, -0.219018
1553.65, -0.221164
1553.64, -0.218518
1553.63, -0.212181
1553.63, -0.203292
1553.62, -0.192899
1553.61, -0.181877
1553.6, -0.170906
1553.59, -0.160478
1553.59, -0.150925
1553.58, -0.142453
1553.57, -0.13518
1553.56, -0.129163
1553.55, -0.124422
1553.55, -0.120955
1553.54, -0.118756
1553.53, -0.117813
1553.52, -0.118124
1553.51, -0.119688
1553.51, -0.122513
1553.5, -0.126609
1553.49, -0.131981
1553.48, -0.138623
1553.47, -0.1465
1553.47, -0.155533
1553.46, -0.165565
1553.45, -0.17634
1553.44, -0.187459
1553.43, -0.198348
1553.43, -0.208239
1553.42, -0.216175
1553.41, -0.221054
1553.4, -0.221737
1553.39, -0.217186
1553.39, -0.206635
1553.38, -0.18972
1553.37, -0.166535
1553.36, -0.13759
1553.35, -0.103684
1553.34, -0.0657466
1553.34, -0.0246849
1553.33, 0.0187083
1553.32, 0.063792
1553.31, 0.110058
1553.3, 0.157071
1553.3, 0.204389
1553.29, 0.251476
1553.28, 0.29761
1553.27, 0.341821
1553.26, 0.382863
1553.26, 0.419243
1553.25, 0.449323
1553.24, 0.471501
1553.23, 0.48444
1553.22, 0.487291
1553.22, 0.479857
1553.21, 0.462627
1553.2, 0.436686
1553.19, 0.403514
1553.18, 0.364759
1553.18, 0.322018
1553.17, 0.276689
1553.16, 0.229903
1553.15, 0.182521
1553.14, 0.135181
1553.14, 0.0883742
1553.13, 0.0425369
1553.12, -0.00186424
1553.11, -0.044259
1553.1, -0.0839318
1553.1, -0.120028
1553.09, -0.151617
1553.08, -0.177818
1553.07, -0.19796
1553.06, -0.21173
1553.06, -0.219263
1553.05, -0.221136
1553.04, -0.21827
1553.03, -0.211772
1553.02, -0.202782
1553.01, -0.192336
1553.01, -0.181301
1553, -0.170348
1552.99, -0.159959
1552.98, -0.150457
1552.97, -0.142045
1552.97, -0.134837
1552.96, -0.128886
1552.95, -0.124211
1552.94, -0.12081
1552.93, -0.118676
1552.93, -0.117799
1552.92, -0.118174
1552.91, -0.119803
1552.9, -0.122694
1552.89, -0.126856
1552.89, -0.132295
1552.88, -0.139002
1552.87, -0.146942
1552.86, -0.15603
1552.85, -0.166109
1552.85, -0.176913
1552.84, -0.188035
1552.83, -0.198893
1552.82, -0.208708
1552.81, -0.216513
1552.81, -0.221203
1552.8, -0.221637
1552.79, -0.216791
1552.78, -0.205915
1552.77, -0.188668
1552.77, -0.165168
1552.76, -0.135945
1552.75, -0.101807
1552.74, -0.0636855
1552.73, -0.0224846
1552.73, 0.0210107
1552.72, 0.0661674
1552.71, 0.112482
1552.7, 0.159522
1552.69, 0.206844
1552.69, 0.2539
1552.68, 0.29996
1552.67, 0.34404
1552.66, 0.384879
1552.65, 0.420973
1552.64, 0.450681
1552.64, 0.47241
1552.63, 0.48484
1552.62, 0.487157
1552.61, 0.479197
1552.6, 0.461484
1552.6, 0.435128
1552.59, 0.401626
1552.58, 0.362627
1552.57, 0.319719
1552.56, 0.274288
1552.56, 0.227453
1552.55, 0.180059
1552.54, 0.132735
1552.53, 0.0859683
1552.52, 0.0401934
1552.52, -0.00411879
1552.51, -0.0463912
1552.5, -0.0859005
1552.49, -0.121786
1552.48, -0.153116
1552.48, -0.179017
1552.47, -0.198832
1552.46, -0.212271
1552.45, -0.219493
1552.44, -0.221095
1552.44, -0.218012
1552.43, -0.211358
1552.42, -0.202267
1552.41, -0.191771
1552.4, -0.180726
1552.4, -0.169792
1552.39, -0.159442
1552.38, -0.149993
1552.37, -0.141641
1552.36, -0.134497
1552.36, -0.128612
1552.35, -0.124003
1552.34, -0.120668
1552.33, -0.1186
1552.32, -0.117787
1552.32, -0.118228
1552.31, -0.119922
1552.3, -0.122879
1552.29, -0.127107
1552.28, -0.132611
1552.28, -0.139384
1552.27, -0.147386
1552.26, -0.156531
1552.25, -0.166655
1552.24, -0.177487
1552.23, -0.188611
1552.23, -0.199436
1552.22, -0.209172
1552.21, -0.216843
1552.2, -0.221339
1552.19, -0.221524
1552.19, -0.21638
1552.18, -0.205178
1552.17, -0.1876
1552.16, -0.163787
1552.15, -0.134286
1552.15, -0.0999189
1552.14, -0.0616161
1552.13, -0.0202782
1552.12, 0.0233177
1552.11, 0.0685458
1552.11, 0.114909
1552.1, 0.161975
1552.09, 0.209297
1552.08, 0.256322
1552.07, 0.302306
1552.07, 0.346251
1552.06, 0.386882
1552.05, 0.422686
1552.04, 0.452018
1552.03, 0.473293
1552.03, 0.485214
1552.02, 0.486995
1552.01, 0.47851
1552, 0.460317
1551.99, 0.433552
1551.99, 0.399724
1551.98, 0.360484
1551.97, 0.317413
1551.96, 0.271885
1551.95, 0.225001
1551.95, 0.177597
1551.94, 0.130291
1551.93, 0.0835651
1551.92, 0.0378539
1551.91, -0.00636788
1551.91, -0.048516
1551.9, -0.0878595
1551.89, -0.123531
1551.88, -0.1546
1551.87, -0.180199
1551.87, -0.199687
1551.86, -0.212795
1551.85, -0.219707
1551.84, -0.221041
1551.83, -0.217744
1551.83, -0.210937
1551.82, -0.201749
1551.81, -0.191205
1551.8, -0.180151
1551.79, -0.169237
1551.79, -0.158927
1551.78, -0.149531
1551.77, -0.14124
1551.76, -0.13416
1551.75, -0.128341
1551.74, -0.123798
1551.74, -0.12053
1551.73, -0.118527
1551.72, -0.117779
1551.71, -0.118285
1551.7, -0.120044
1551.7, -0.123067
1551.69, -0.127361
1551.68, -0.132932
1551.67, -0.139769
1551.66, -0.147833
1551.66, -0.157034
1551.65, -0.167202
1551.64, -0.178061
1551.63, -0.189186
1551.62, -0.199975
1551.62, -0.209629
1551.61, -0.217164
1551.6, -0.221465
1551.59, -0.221396
1551.58, -0.215952
1551.58, -0.204423
1551.57, -0.186514
1551.56, -0.16239
1551.55, -0.132615
1551.54, -0.0980202
1551.54, -0.0595386
1551.53, -0.0180657
1551.52, 0.025629
1551.51, 0.0709274
1551.5, 0.117337
1551.5, 0.164428
1551.49, 0.21175
1551.48, 0.258741
1551.47, 0.304646
1551.46, 0.348453
1551.46, 0.388873
1551.45, 0.424381
1551.44, 0.453333
1551.43, 0.474151
1551.42, 0.48556
1551.42, 0.486805
1551.41, 0.477798
1551.4, 0.459128
1551.39, 0.431956
1551.38, 0.397807
1551.38, 0.35833
1551.37, 0.3151
1551.36, 0.269477
1551.35, 0.222548
1551.34, 0.175136
1551.34, 0.127849
1551.33, 0.0811646
1551.32, 0.0355183
1551.31, -0.00861142
1551.3, -0.0506334
1551.3, -0.0898086
1551.29, -0.125264
1551.28, -0.156069
1551.27, -0.181364
1551.26, -0.200524
1551.26, -0.213303
1551.25, -0.219906
1551.24, -0.220975
1551.23, -0.217468
1551.22, -0.210509
1551.21, -0.201227
1551.21, -0.190637
1551.2, -0.179577
1551.19, -0.168684
1551.18, -0.158415
1551.17, -0.149073
1551.17, -0.140842
1551.16, -0.133827
1551.15, -0.128074
1551.14, -0.123598
1551.13, -0.120395
1551.13, -0.118457
1551.12, -0.117775
1551.11, -0.118345
1551.1, -0.12017
1551.09, -0.123258
1551.09, -0.127619
1551.08, -0.133256
1551.07, -0.140158
1551.06, -0.148284
1551.05, -0.157539
1551.05, -0.167752
1551.04, -0.178636
1551.03, -0.18976
1551.02, -0.200512
1551.01, -0.210082
1551.01, -0.217477
1551, -0.221578
1550.99, -0.221253
1550.98, -0.215508
1550.97, -0.203651
1550.97, -0.185412
1550.96, -0.160978
1550.95, -0.130931
1550.94, -0.0961111
1550.93, -0.0574531
1550.93, -0.0158473
1550.92, 0.0279445
1550.91, 0.0733119
1550.9, 0.119767
1550.89, 0.166882
1550.89, 0.214202
1550.88, 0.261157
1550.87, 0.30698
1550.86, 0.350646
1550.85, 0.39085
